lat,lon,name,admin1,admin2,cc
46.25,20.2,Maros,H,STM,HU
46.33472,18.89167,Gémesi Révház,P,PPL,HU
46.7,21.26667,Fekete-Körös,H,STM,HU
46.93333,20.96667,Fehér-Körös,H,STM,HU
48.13333,22.31667,Kraszna-csatorna,H,CNL,HU
48.15,22.33333,Kraszna,H,STM,HU
47.03333,21.56667,Mogyorós,L,AREA,HU
46.85,20.78333,Zvaradűlő,P,PPL,HU
47.85,22.56667,Zuhogó,L,AREA,HU
48.03333,20.8,Zúgó-tető,T,HLL,HU
46.2,20.45,Zugoly,P,PPLX,HU
47.58333,21.9,Zúgó-dűlő,L,AREA,HU
47.31667,20.93333,Zuglókert,P,PPL,HU
47.33333,20.9,Zug-kert,L,AREA,HU
48.38333,20.58333,Zubogyi Tanya,P,PPL,HU
48.38333,20.58333,Zubogy,P,PPL,HU
48.33333,20.68333,Zubogó-tető,T,HLL,HU
47.55,22.03333,Zubogórész,P,PPL,HU
48.41184,22.21955,Zsurk,P,PPL,HU
48.5,21.26667,Zsujta Vasúti Megállóhely,S,RSTP,HU
48.5,21.28333,Zsujta,P,PPL,HU
47.78333,21.0,Zsórytanya,P,PPL,HU
47.01667,21.5,Zsombokos,P,PPLX,HU
46.31667,20.0,Zsombódűlő,P,PPL,HU
47.2,20.01667,Zsombékosdűlő,P,PPLX,HU
47.15,20.98333,Zsombékakol,P,PPLX,HU
47.45,21.4,Zsoldosdűlő,P,PPLX,HU
47.15,21.45,Zsoldos,P,PPLL,HU
48.11667,20.88333,Zsolcai-halom,T,HLL,HU
47.98333,20.93333,Zsófiatanya,P,PPL,HU
46.93333,20.91667,Zsófiamajor,P,PPL,HU
48.18333,21.83333,Zsőcetanya,P,PPL,HU
47.85,22.56667,Zsírostanya,P,PPLX,HU
48.05,22.75,Zsírostanya,P,PPL,HU
47.4,21.48333,Zsiphalomdűlő,P,PPL,HU
47.83333,21.75,Zsindelyestanya,P,PPLX,HU
47.75,22.06667,Zsindelyestanya,P,PPLX,HU
47.75,20.78333,Zsindelyestanya,P,PPLX,HU
48.16667,22.23333,Zsindelyestanya,P,PPL,HU
47.4,20.45,Zsindelyes,L,AREA,HU
47.78333,20.03333,Zsilletanya,P,PPL,HU
48.16141,22.16226,Zsigmond-hegy,T,HLL,HU
46.96667,20.28333,Zsigeritanyák,P,PPLX,HU
46.58333,20.23333,Zsigerhát,P,PPLX,HU
46.91927,20.19254,Zsidóhalom,P,PPLX,HU
46.91922,20.19178,Zsidó-halom,T,HLL,HU
48.08333,20.51667,Zsérci-Nagy-dél,T,MT,HU
48.13333,21.28333,Zserc,L,AREA,HU
47.78333,22.2,Zseramajor,P,PPL,HU
47.85,22.56667,Zsenyuktanya,P,PPL,HU
47.26667,20.53333,Zsényeitanya,P,PPL,HU
46.81667,21.03333,Zsellérföldek,P,PPL,HU
47.03333,21.21667,Zsellér-földek,L,AREA,HU
47.13333,21.43333,Zsellér-föld,L,AREA,HU
47.88333,22.56667,Zsédértanya,P,PPL,HU
46.93333,20.78333,Zseber,P,PPL,HU
48.33333,21.71667,Zsarótanya,P,PPLX,HU
47.94927,22.5911,Zsarolyán,P,PPL,HU
47.91667,20.63333,Zsámbokitanya,P,PPL,HU
47.4,21.78333,Zsákos,P,PPL,HU
47.13333,21.43333,Zsáka,P,PPL,HU
46.91667,21.5,Zsadányitanyák,P,PPLX,HU
48.25,21.53333,Zsadányhomok,P,PPL,HU
46.91667,21.5,Zsadány,P,PPL,HU
48.16667,21.3,Zomborkadűlő,P,PPL,HU
47.96667,21.65,Zomboribokor,P,PPLX,HU
46.61667,20.53333,Zoltántér,P,PPLX,HU
48.08035,22.61472,Zoltántanya,P,PPL,HU
48.0,21.51667,Zoltántanya,P,PPL,HU
47.55,22.03333,Zoltán-tag,L,AREA,HU
48.0,21.88333,Zoltánszőllő,P,PPL,HU
47.96667,21.95,Zoltángyümölcsös,P,PPL,HU
47.61667,20.76667,Zollertanya,P,PPL,HU
48.51667,21.35,Zöldmáj,P,PPLX,HU
46.95,20.86667,Zöldlapositanyák,P,PPLX,HU
46.96667,21.63333,Zöldhalom-tó,H,LK,HU
46.49797,20.01546,Zöldhalom,P,PPLX,HU
47.36667,20.1,Zöldhalom,P,PPL,HU
47.88333,21.31667,Zöld-halom,T,HLL,HU
46.3,20.7,Zöld-halom,T,HLL,HU
47.95,21.51667,Zöldbokor,P,PPLX,HU
48.05,21.95,Zöldágtanya,P,PPL,HU
47.23333,21.15,Zódony,P,PPL,HU
48.25,20.78333,Ziliz Vasúti Megállóhely,S,RSTP,HU
48.25,20.8,Ziliz,P,PPL,HU
48.5,21.5,Prešovsko-tokajská vrchovina,T,MTS,HU
48.35739,22.08066,Zemplénagárd,P,PPL,HU
48.1,21.65,Zelenák-lapos,L,AREA,HU
47.63333,21.58333,Zelemér Vasúti Megállóhely,S,RSTP,HU
47.63333,21.5,Zelemér,P,PPLX,HU
48.19187,22.22843,Zékánkert,P,PPLX,HU
47.86667,20.1,Závoz-völgy,T,VAL,HU
47.6,20.28333,Zárdatanya,P,PPL,HU
47.65,20.11667,Zaránki Tanyák,P,PPL,HU
47.61667,20.08333,Zaránkidűlő,P,PPLX,HU
47.65,20.11667,Zaránk,P,PPL,HU
48.05485,20.02125,Zámorszénégető,P,PPL,HU
46.75,20.2,Zalota,H,SWMP,HU
46.73807,20.21056,Zalota,P,PPLX,HU
48.28333,20.88333,Zálogos-dűlő,L,AREA,HU
48.18333,21.46667,Zalkod,P,PPL,HU
47.9,22.8,Zajta Vasútállomás,S,RSTN,HU
47.90681,22.79915,Zajta,P,PPL,HU
47.85,21.46667,Zajgatói-dűlők,L,AREA,HU
47.81667,21.45,Zajgatódűlő,P,PPLX,HU
48.05,21.88333,Zajácztanya,P,PPL,HU
48.4,22.18333,Záhony Vasútállomás,S,RSTN,HU
48.40906,22.17614,Záhony,P,PPLA2,HU
47.25,20.1,Zagyvarékas Vasúti Megállóhely,S,RSTP,HU
47.26667,20.13333,Zagyvarékasi Tanya,P,PPL,HU
47.26667,20.13333,Zagyvarékas,P,PPL,HU
47.18333,20.2,Zagyvapart,P,PPL,HU
47.43333,20.05,Zagyvajobbparti Tanyák,P,PPL,HU
47.71667,20.41667,Zagyvaitanya,P,PPLX,HU
47.43333,20.05,Zagyvabalparti Tanyák,P,PPL,HU
47.16667,20.2,Zagyva,H,STM,HU
47.86667,22.25,Zafirtanya,P,PPL,HU
48.38333,20.48333,Zádorfalva,P,PPL,HU
47.53333,21.9,Zádokosdűlő,P,PPL,HU
48.11667,21.18333,Zábráczkytanya,P,PPL,HU
48.03333,21.25,Zábonszkytanya,P,PPL,HU
48.36667,21.38333,Zabarla,T,MT,HU
48.14437,20.04914,Zabar,P,PPL,HU
48.21667,20.8,Wittnertanya,P,PPL,HU
46.43333,21.05,Winterpuszta,P,PPL,HU
46.66667,20.6,Wernermajor,P,PPLX,HU
48.12372,21.46429,Weisztanya,P,PPL,HU
48.06667,22.2,Weinstocktanya,P,PPLX,HU
48.16667,22.28333,Weinbergertanya,P,PPL,HU
47.55,21.55,Vulkántelep,P,PPLX,HU
48.08333,20.45,Vörös-sár-hegy,T,MT,HU
46.36667,21.0,Vöröspuszta,L,AREA,HU
46.3,20.43333,Vörösnádhát,P,PPL,HU
47.88426,22.20601,Vörös Mihály Hegy,T,HLL,HU
47.41667,20.36667,Vörösmajor,P,PPL,HU
46.46667,20.38333,Vörös-kutas-dűlő,L,AREA,HU
46.41667,21.11667,Vöröskupapuszta,P,PPL,HU
46.28333,20.06667,Vöröshomok,P,PPL,HU
46.5,20.4,Vöröshalom-dűlő,L,AREA,HU
48.11667,20.91667,Vöröscsillag,P,PPL,HU
47.33333,20.0,Vörös Csik,H,LK,HU
47.97119,22.35414,Völgyitanya,P,PPL,HU
47.6,20.28333,Völgyitag,P,PPL,HU
48.23333,20.2,Völgyfőtanya,P,PPLX,HU
47.98333,20.5,Völgyfő,P,PPLX,HU
47.31667,20.93333,Völgyeskert,P,PPL,HU
47.4,21.75,Völgyes,P,PPL,HU
47.56667,21.88333,Víztisztatanya,P,PPL,HU
47.96667,20.41667,Víztelep,P,PPLX,HU
48.4,21.66667,Víztelep,P,PPL,HU
48.13333,20.06667,Víztelen Hegy,T,HLL,HU
48.38333,21.21667,Vizsoly,P,PPL,HU
47.83273,22.72172,Vizsoly,P,PPL,HU
48.2,20.45,Vízköz,T,HLL,HU
48.16667,20.15,Vizes-völgy hegyese,T,HLL,HU
46.31667,21.16667,Vizespuszta,P,PPLL,HU
46.3,21.18333,Vizesitanyák,P,PPL,HU
47.85,20.38333,Vizes-hegy,T,HLL,HU
46.81667,21.26667,Vizesfás,P,PPLX,HU
47.45,21.4,Vizesdűlő,P,PPL,HU
46.8,21.16667,Vizesbánom,P,PPLX,HU
48.05,21.88333,Vízállótanya,P,PPL,HU
48.01667,21.96667,Vityitag,P,PPLX,HU
47.76667,21.98333,Vityitag,P,PPL,HU
47.8,22.06667,Vitketanya,P,PPL,HU
48.1,22.31667,Vitka Vasútállomás,S,RSTN,HU
48.1,22.31667,Vitka,P,PPLX,HU
47.91667,21.18333,Vitéztelkek,P,PPL,HU
48.16667,20.38333,Vitéztelep,P,PPL,HU
47.7,22.05,Vitéztelek,P,PPLX,HU
48.16667,21.56667,Vitéztelek,P,PPL,HU
47.61667,21.35,Vitéztelek,P,PPL,HU
48.15,21.26667,Vitéztanya,P,PPL,HU
48.05,22.36667,Vitéztanya,P,PPL,HU
46.65,20.1,Vitézitelep,P,PPL,HU
47.88333,22.1,Vitézitelek,P,PPL,HU
47.45,20.46667,Vitézitelek,P,PPL,HU
47.63333,22.15,Vitézitag,P,PPL,HU
46.85,20.96667,Vitális Halom,T,HLL,HU
46.23333,20.46667,Vita-halom,T,HLL,HU
47.56667,20.01667,Viszneki-tó-dűlő,L,AREA,HU
47.65,20.03333,Viszneki Tanyák,P,PPL,HU
47.64248,20.02772,Visznek,P,PPL,HU
48.51667,20.88333,Viszlói-oldal,L,AREA,HU
48.5,20.9,Viszló,P,PPL,HU
48.23333,21.51667,Viss Vasúti Megállóhely,S,RSTP,HU
48.21667,21.51667,Viss,P,PPL,HU
47.78,20.02905,Visonta,P,PPL,HU
48.08333,21.63333,Visnyeitag,P,PPL,HU
48.06667,21.51667,Virányos Vasúti Megállóhely,S,RSTP,HU
48.06667,21.53333,Virányos,P,PPLX,HU
48.26667,21.71667,Virányitanya,P,PPL,HU
47.43333,21.16667,Virágos-zug,L,AREA,HU
47.51667,20.15,Virágostanya,P,PPL,HU
47.63948,21.35485,Virágoskút,P,PPLX,HU
47.51667,20.0,Virágosi Tanya,P,PPL,HU
47.76667,21.9,Virágosdűlő,P,PPLX,HU
47.48333,20.18333,Virágos,P,PPLX,HU
47.26667,21.75,Virág-lapos,L,AREA,HU
47.83333,20.78333,Virághtanya,P,PPLX,HU
46.95,20.25,Virág-hegy,T,HLL,HU
48.4,21.66667,Vióka,P,PPLX,HU
47.6,22.06667,Vindispuszta,P,PPL,HU
48.13333,21.23333,Vincetanya,P,PPLX,HU
47.65,20.18333,Vincetanya,P,PPLX,HU
47.61667,20.76667,Vincetanya,P,PPL,HU
48.43333,21.08333,Vincellértanya,P,PPL,HU
48.5,21.56667,Vilyvitány,P,PPL,HU
48.48333,21.55,Vilyipuszta,P,PPLX,HU
46.41667,20.98333,Vilmosmajor,P,PPL,HU
46.41667,21.18333,Vilmosdombidűlő,P,PPL,HU
48.25,21.53333,Vilmatanya,P,PPLX,HU
47.98131,22.23729,Vilmatanya,P,PPL,HU
46.36667,20.03333,Vilmaszállás Vasúti Megállóhely,S,RSTP,HU
48.41667,21.23333,Vilmányi Major,P,PPL,HU
48.41667,21.23333,Vilmány,P,PPL,HU
47.58333,21.96667,Villongó-ér,H,STMC,HU
47.53717,21.93884,Villongó,P,PPL,HU
48.01667,20.3,Villó-hegy,T,HLL,HU
47.45,20.65,Villogó-csatorna,H,CNL,HU
47.3,20.7,Villogó,H,RSV,HU
47.21667,20.76667,Villogó,P,PPL,HU
47.76667,21.98333,Villástanya,P,PPLX,HU
48.0,21.03333,Villanytelep,P,PPL,HU
48.28333,20.58333,Villámvölgy,P,PPL,HU
48.46667,20.88333,Világostanya,P,PPLX,HU
47.95,21.76667,Világostanya,P,PPLX,HU
48.26667,21.11667,Balog-tanya,P,PPL,HU
48.06667,22.3,Világos-hegy,T,HLL,HU
47.2,20.01667,Világosdűlő,P,PPLX,HU
46.41667,20.61667,Viktormajor,P,PPL,HU
46.75,20.75,Viharsarok,L,RGN,HU
46.71667,20.95,Viharsarok,P,PPLL,HU
48.16667,21.65,Vigváritanya,P,PPLX,HU
47.4,21.75,Vightanya,P,PPL,HU
48.3,22.01667,Vighméhestanya,P,PPL,HU
47.75,21.5,Vidpuszta,P,PPL,HU
48.01667,21.83333,Vidovicstanya,P,PPLX,HU
46.93333,20.83333,Vidólapos,P,PPL,HU
47.76667,21.41667,Vidiföld,P,PPLX,HU
47.76667,21.36667,Vidi-ér,H,STM,HU
47.4,21.75,Vidatanya,P,PPL,HU
47.38333,21.9,Vidakert,P,PPLX,HU
47.68333,21.91667,Viczmánditanya,P,PPLX,HU
47.6,20.28333,Vicziántanya,P,PPL,HU
47.03333,20.21667,Vezsenyi Tanyák,P,PPL,HU
47.03333,20.21667,Vezseny,P,PPL,HU
46.23333,20.21667,Vetye,P,PPL,HU
47.1,21.21667,Vettrét,P,PPL,HU
47.4,22.0,Vetésitanya,P,PPL,HU
46.95,21.26667,Vésztő Vasútállomás,S,RSTN,HU
46.91667,21.26667,Vésztő,P,PPL,HU
47.73333,21.75,Veszprémy-dűlő,L,AREA,HU
46.96667,21.08333,Vesszősér,P,PPLX,HU
47.61667,20.25,Vesszős,L,AREA,HU
48.2,21.66667,Vertintanya,P,PPLX,HU
47.46667,21.88333,Vértesliget,P,PPL,HU
47.86667,20.21667,Verpelét Vasútállomás,S,RSTN,HU
47.85,20.23333,Verpelét,P,PPL,HU
47.8,20.58333,Vér-patak,H,STM,HU
48.53333,20.6,Verő-tető,T,MT,HU
48.28333,21.38333,Verő-máj,L,AREA,HU
47.01667,21.5,Vernekert,P,PPL,HU
48.08333,20.16667,Vermes-patak,H,STM,HU
47.1,20.15,Vermeshátidűlő,P,PPLX,HU
46.31667,20.35,Vermes Halom,T,HLL,HU
48.31667,21.58333,Vérmány,P,PPL,HU
46.35,21.13333,Verikitanyák,P,PPL,HU
47.86667,21.38333,Verestenger,P,PPLX,HU
48.08333,21.93333,Verestanya,P,PPLX,HU
47.76667,21.98333,Verestanya,P,PPLX,HU
47.74044,22.18528,Verestanya,P,PPLX,HU
47.38333,20.48333,Verestanya,P,PPLX,HU
48.05,22.75,Verestanya,P,PPL,HU
47.96667,22.25,Verestanya,P,PPL,HU
47.9,22.33333,Verestanya,P,PPL,HU
47.83333,22.68333,Verestanya,P,PPL,HU
47.78333,20.95,Verestanya,P,PPL,HU
48.232,22.4887,Verestanya,L,AREA,HU
47.81667,22.61667,Veres-tag,L,AREA,HU
47.4,21.48333,Veresszikdűlő,P,PPL,HU
48.23333,21.93333,Veresstanya,P,PPL,HU
48.15,21.55,Veresstanya,P,PPL,HU
46.38333,21.1,Veressmajor,P,PPL,HU
48.16667,21.55,Veress Becskei-tanya,P,PPL,HU
48.23333,21.93333,Veres Sándor-tanya,P,PPL,HU
46.5,20.53333,Vereskutas,P,PPLX,HU
47.86667,22.65,Vereskert,P,PPLX,HU
47.18333,21.45,Veres Imre-tanya,P,PPL,HU
46.26667,20.03333,Vereshomoki-tó,H,LK,HU
47.71014,22.17362,Veresháztanya,P,PPLX,HU
47.9297,22.30164,Veresháztanya,P,PPL,HU
47.15,21.48333,Veresháttanya,P,PPL,HU
46.5,20.4,Veres Halom,T,HLL,HU
46.93333,21.48333,Veresgyűrűs,P,PPL,HU
46.85,21.35,Veres-gyűrűs,L,AREA,HU
48.4,21.66667,Veresföld,P,PPLX,HU
46.8,20.45,Veresegyház,P,PPLX,HU
47.68333,20.18333,Verempart,P,PPL,HU
48.33333,20.46667,Verem Bérc,T,HLL,HU
48.23333,20.2,Verecepadja,L,AREA,HU
48.0,21.23333,Verebestanya,P,PPLX,HU
47.76667,21.06667,Verebes,L,AREA,HU
47.55,21.46667,Verébdűlő,P,PPLL,HU
47.6,20.28333,Vercel,L,AREA,HU
47.95,21.58333,Verbőczibokor,P,PPL,HU
48.06667,21.8,Véntanya,P,PPLX,HU
48.18333,20.35,Vén-szőlő,T,HLL,HU
47.7,21.7,Vénkert,P,PPLX,HU
47.61667,21.35,Vénkert,P,PPLX,HU
47.38333,20.65,Vénkert,P,PPLX,HU
47.1,20.75,Vénkert,P,PPLX,HU
46.88333,21.03333,Vénkert,P,PPLX,HU
47.53333,21.9,Vén-kert,L,AREA,HU
47.46667,21.36667,Vén-kert,L,AREA,HU
46.65,20.26667,Vekerzug,P,PPLX,HU
46.83333,20.28333,Vekeritanyák,P,PPLX,HU
46.7,20.35,Vekerhát,P,PPLX,HU
46.68333,20.25,Veker-ér,H,STM,HU
47.1,21.4,Vekerd,P,PPL,HU
48.3,21.61667,Véghtanya,P,PPL,HU
47.88333,22.56667,Véghtanya,P,PPL,HU
46.81667,20.2,Vég-halom,T,HLL,HU
47.38333,20.5,Végesstanya,P,PPL,HU
46.38333,20.88333,Végegyháza Vasúti Megállóhely,S,RSTP,HU
46.36667,20.86667,Végegyháza Alsó Vasúti Megállóhely,S,RSTP,HU
46.38333,20.86667,Végegyháza,P,PPL,HU
46.16667,20.11667,Vedresháza,L,AREA,HU
