element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,name,tourism,geometry,phone,website,wheelchair,heritage,heritage:operator,name:zh,opening_hours,ref:whc,description,name:de,level,wikidata,wikipedia,source,source:date,url,contact:phone,name:en,name:hr,name:hu,operator,access,barrier,historic,inscription,memorial,email,note,survey:date,nodes,building,alt_name,contact:website,fixme,museum,building:levels,man_made,fee,roof:levels,contact:facebook,roof:shape,ownership,addr:conscriptionnumber,charge,name:it,addr:country,is_in,architect,architect:wikipedia,castle_type,facebook,height,ways,archaeological_site,site_type,type,dog,payment:debit_cards,addr:housename,toilets,leisure,tower:type,toilets:wheelchair,building:part,ele,material,observatory:type,roof:colour,roof:height,telescope:type,roof:material,contact:email,description:hu,name:sk,start_date,opening_hours:covid19,contact:instagram,addr:place,addr:suburb,source:addr,check_date:opening_hours,image,denomination,religion,location,url:utisugo,addr:province,historic:man_made,free_refill,name:ru,contact:website:en,layer,wheelchair:description,contact:mobile,official_name,name:es,name:ja,bunker_type,name:nl,phone:mobile,ref,alt_name:en,name:la,ref:HU:vatin,ref:vatin,short_name,operator:en,old_addr:housenumber,old_addr:street,ruins,attraction,addr:floor,historic:civilization,historic:period,addr:district,amenity,description:en,contact:twitter,contact:youtube,operator:type,name:pt,old_name,landuse,name:fr,name:sl,name:sw,contact:fax,post_box,abandoned:military,name:sr,wikimedia_commons,building:colour,name:he,area,url:tuhu,mapillary,loc_name,building:use,denotation,int_name,disused:amenity,food,smoking,name:cs,name:ko,name:pl,name:sv,payment:credit_cards,toilets:access,stop_date,field,payment:cash,opening_hours:signed,exhibit,mobile,payment:american_express,payment:maestro,payment:mastercard,payment:visa,payment:visa_electron,addr:interpolation,internet_access,addr:hamlet,description:fr,description:nl,description:zh,addr:subdistrict,museum_type,demolished:museum,operator:addr,url:geocaching.hu,air_conditioning,source:start_date,building:material,fence_type,description:de,wheelchair:description:en,fax,name:ro,craft,note:hu,note:en,payment:coins,postal_code,community_centre,internet_access:ssid,community_centre:for,note:de,operator:de,source:geometry,office,Endre,url:2,check_date,building_1,name:si
node,457921484,Pécs,2,7621,Káptalan utca,Zsolnay múzeum,museum,POINT (18.2269083 46.0789939),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,457940324,Pécs,12,7621,Széchenyi tér,Régészeti Múzeum,museum,POINT (18.2279369 46.0774193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,457951415,Pécs,3,7621,Káptalan utca,Victor Vasarely múzeum,museum,POINT (18.2268826 46.0785687),+36 30 934 6127,https://pecsimuzeumok.hu/index.php?m=1&s=2&id=96,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1118545686,,,,,Cella Septichora Látogatóközpont,museum,POINT (18.2244432 46.0777728),,,,1,whc,早期基督教陵墓,Tu-Su 10:00-17:00,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1118545754,,,,,Ókeresztény Mauzóleum,museum,POINT (18.2237722 46.0773194),,https://hu.wikipedia.org/wiki/P%C3%A9csi_%C3%B3kereszt%C3%A9ny_s%C3%ADrkamr%C3%A1k,,1,whc,,,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1752073909,,,,,Modern Magyar Képtár,museum,POINT (18.225941 46.0789624),,,,,,,,,Székely Péter Múzeum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3021419082,,,,,Bormúzeum,museum,POINT (18.452916 45.8682369),,,,,,,,,,Weinmuseum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3407111629,,,,,Késő római temetőkápolna,museum,POINT (18.2254099 46.0768758),,,,,,,,,Jelenleg (2021) teljes felújítása zajlik.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3408908435,,,,,Uránbányászati kiállítás,museum,POINT (18.1274997 46.0836854),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3413993784,,,,,Mecseki Bányászati Múzeum,museum,POINT (18.2266282 46.0786968),,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
