element_type,osmid,name,name:ca,name:de,name:en,name:es,name:he,tourism,website,wikidata,wikipedia,geometry,barrier,foot,fee,natural,castle_type,castle_type:ca,ele,historic,note,ruins,toilets:wheelchair,wheelchair,wheelchair:description,addr:housenumber,addr:postcode,addr:street,email,name:eo,name:fr,phone,description,nodes,name:sk,nudism,opening_hours,surface,leisure,sport,amenity,building,religion,aeroway,area,display_name,source,place,abandoned:landuse,access,shop,ways,type,landuse,contact:phone,contact:website,image,image:0,man_made,seamark:light:1:character,seamark:light:1:colour,seamark:light:1:group,seamark:light:1:height,seamark:light:1:period,seamark:light:1:range,seamark:light:1:sector_end,seamark:light:1:sector_start,seamark:light:1:sequence,seamark:light:reference,seamark:name,seamark:type,start_date,wikimedia_commons,archaeological_site,site_type,drinking_water,comment,craft,handrail,highway,incline,lit,ramp,step_count,bridge,heritage,heritage:operator,layer,tower:type,denomination,architect,addr:city,operator,artwork_type,description:en,alt_name,official_name,building:architecture,height,url,url:0,contact:facebook,contact:instagram,contact:twitter,contact:youtube,opening_hours:covid19,date,alt_name:en,source:description,building:colour,building:material,name:lt,name:ru,note:fee,roof:colour,product,material,waterway,charge,building:levels,source:date
node,289535967,Coves del Drac,Coves del Drach,Drachenhöhlen,Drach (Dragon's) Cave,Cuevas del Drach,מערות דראק,attraction,https://www.cuevasdeldrach.com,Q429431,en:Cuevas del Drach,POINT (3.3302537 39.5358115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,461872664,Banys de sa Font Santa,Banys de sa Font Santa,,,,,attraction,,,,POINT (3.0157597 39.3540842),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,682373612,Barraca de roter,,,,,,attraction,,,,POINT (3.1862223 39.3466269),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,682373697,Ca na Martina,,,,,,attraction,,,,POINT (3.1902571 39.3565274),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,687808647,Coves dels Hams,Coves dels Hams,Höhlen - Coves dels Hams,,,,attraction,https://cuevasdelshams.com,Q40697,en:Coves dels Hams,POINT (3.3201169 39.5449827),,,yes,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2795373918,Castell de Santueri,Castell de Santueri,,,,,attraction,http://www.santueri.org,Q908268,ca:Castell de Santueri,POINT (3.1878164 39.4320235),,,,,castrum,castell roquer,420.89,castle,Castell roquer,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3549391493,,,Strandpromenade,,,,attraction,,,,POINT (3.3752617 39.5705161),,,,,,,,,,,yes,yes,"de: Voll rollstuhlgerecht, keine Pflastersteine, Rolliparkplätze vorhanden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4404099089,Via Verda,Via Verda,,Vía Verde Bike Trail,Vía Verde,,attraction,,,,POINT (3.2174125 39.5736272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4490965891,Aeroport de globus Mallorca Balloons,Aeroport de globus Mallorca Balloons,,Mallorca Balloons airport,Globodromo Mallorca Balloons,,attraction,http://www.mallorcaballoons.com,,,POINT (3.156088 39.5746099),,,,,,,,,,,,,,exit 44,07500,Autovia MA-15,info@mallorcaballoons.com,Ballonhafen Mallorca balloons,Aeroport de Montgolfiere,+34 971596969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4637583289,Can Barceló,Can Barceló,,,,,attraction,http://nerea.cat,,,POINT (3.2132741 39.5725051),,,,,,,,,,,,,,28,07500,Carrer des Barracar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4686332391,Playa Es Trenc,,,,Playa Es Trenc,,attraction,,,,POINT (2.9900779 39.3382344),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5212613323,,,,,,,attraction,,,,POINT (3.389993 39.5767924),,,,,,,,,,,,,,,,,,,,,old bunkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5633232355,Horse to Castle,,,,,,attraction,,,,POINT (3.3786912 39.577228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6389024185,Pont natural,,Felsentor,,,,attraction,,,,POINT (3.2999922 39.5002352),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6733341386,,,,Buggy 4 Fun,,,attraction,http://www.buggy4fun.es,,,POINT (3.3825119 39.5959209),,,,,,,,,,,,,,3,07560,Carrer de l'Olivar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9780184844,Via Verda,Via Verda,,Vía Verde Bike Trail,Vía Verde,,attraction,,,,POINT (3.2174125 39.5736272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
